Mod:Item:MetaData, Localized Name
lotr:tile.mobSpawner:61, Mob Spawner
lotr:tile.mobSpawner:62, Mob Spawner
lotr:tile.mobSpawner:63, Mob Spawner
lotr:tile.mobSpawner:64, Mob Spawner
lotr:tile.mobSpawner:65, Mob Spawner
lotr:tile.mobSpawner:66, Mob Spawner
lotr:tile.mobSpawner:67, Mob Spawner
lotr:tile.mobSpawner:68, Mob Spawner
lotr:tile.mobSpawner:69, Mob Spawner
lotr:tile.mobSpawner:70, Mob Spawner
lotr:tile.mobSpawner:71, Mob Spawner
lotr:tile.mobSpawner:72, Mob Spawner
lotr:tile.mobSpawner:73, Mob Spawner
lotr:tile.mobSpawner:74, Mob Spawner
lotr:tile.mobSpawner:75, Mob Spawner
lotr:tile.mobSpawner:76, Mob Spawner
lotr:tile.mobSpawner:77, Mob Spawner
lotr:tile.mobSpawner:78, Mob Spawner
lotr:tile.mobSpawner:79, Mob Spawner
lotr:tile.mobSpawner:80, Mob Spawner
lotr:tile.mobSpawner:81, Mob Spawner
lotr:tile.mobSpawner:82, Mob Spawner
lotr:tile.mobSpawner:83, Mob Spawner
lotr:tile.mobSpawner:84, Mob Spawner
lotr:tile.mobSpawner:85, Mob Spawner
lotr:tile.mobSpawner:86, Mob Spawner
lotr:tile.mobSpawner:87, Mob Spawner
lotr:tile.mobSpawner:88, Mob Spawner
lotr:tile.mobSpawner:89, Mob Spawner
lotr:tile.mobSpawner:90, Mob Spawner
lotr:tile.mobSpawner:91, Mob Spawner
lotr:tile.mobSpawner:92, Mob Spawner
lotr:tile.mobSpawner:93, Mob Spawner
lotr:tile.mobSpawner:94, Mob Spawner
lotr:tile.mobSpawner:95, Mob Spawner
lotr:tile.mobSpawner:96, Mob Spawner
lotr:tile.mobSpawner:97, Mob Spawner
lotr:tile.mobSpawner:98, Mob Spawner
lotr:tile.mobSpawner:99, Mob Spawner
lotr:tile.mobSpawner:100, Mob Spawner
lotr:tile.mobSpawner:101, Mob Spawner
lotr:tile.mobSpawner:102, Mob Spawner
lotr:tile.mobSpawner:103, Mob Spawner
lotr:tile.mobSpawner:104, Mob Spawner
lotr:tile.mobSpawner:105, Mob Spawner
lotr:tile.mobSpawner:106, Mob Spawner
lotr:tile.mobSpawner:107, Mob Spawner
lotr:tile.mobSpawner:108, Mob Spawner
lotr:tile.mobSpawner:109, Mob Spawner
lotr:tile.mobSpawner:110, Mob Spawner
lotr:tile.mobSpawner:111, Mob Spawner
lotr:tile.mobSpawner:112, Mob Spawner
lotr:tile.mobSpawner:113, Mob Spawner
lotr:tile.mobSpawner:114, Mob Spawner
lotr:tile.mobSpawner:115, Mob Spawner
lotr:tile.mobSpawner:116, Mob Spawner
lotr:tile.mobSpawner:117, Mob Spawner
lotr:tile.mobSpawner:118, Mob Spawner
lotr:tile.mobSpawner:119, Mob Spawner
lotr:tile.mobSpawner:120, Mob Spawner
lotr:tile.mobSpawner:121, Mob Spawner
lotr:tile.mobSpawner:122, Mob Spawner
lotr:tile.mobSpawner:123, Mob Spawner
lotr:tile.mobSpawner:124, Mob Spawner
lotr:tile.mobSpawner:125, Mob Spawner
lotr:tile.mobSpawner:126, Mob Spawner
lotr:tile.mobSpawner:127, Mob Spawner
lotr:tile.mobSpawner:128, Mob Spawner
lotr:tile.mobSpawner:129, Mob Spawner
lotr:tile.mobSpawner:130, Mob Spawner
lotr:tile.mobSpawner:131, Mob Spawner
lotr:tile.mobSpawner:132, Mob Spawner
lotr:tile.mobSpawner:133, Mob Spawner
lotr:tile.mobSpawner:134, Mob Spawner
lotr:tile.mobSpawner:135, Mob Spawner
lotr:tile.mobSpawner:136, Mob Spawner
lotr:tile.mobSpawner:137, Mob Spawner
lotr:tile.mobSpawner:138, Mob Spawner
lotr:tile.mobSpawner:139, Mob Spawner
lotr:tile.mobSpawner:140, Mob Spawner
lotr:tile.mobSpawner:141, Mob Spawner
lotr:tile.mobSpawner:142, Mob Spawner
lotr:tile.mobSpawner:143, Mob Spawner
lotr:tile.mobSpawner:144, Mob Spawner
lotr:tile.mobSpawner:145, Mob Spawner
lotr:tile.mobSpawner:146, Mob Spawner
lotr:tile.mobSpawner:147, Mob Spawner
lotr:tile.mobSpawner:148, Mob Spawner
lotr:tile.mobSpawner:149, Mob Spawner
lotr:tile.mobSpawner:150, Mob Spawner
lotr:tile.mobSpawner:151, Mob Spawner
lotr:tile.mobSpawner:152, Mob Spawner
lotr:tile.mobSpawner:153, Mob Spawner
lotr:tile.mobSpawner:154, Mob Spawner
lotr:tile.mobSpawner:155, Mob Spawner
lotr:tile.mobSpawner:156, Mob Spawner
lotr:tile.mobSpawner:157, Mob Spawner
lotr:tile.mobSpawner:158, Mob Spawner
lotr:tile.mobSpawner:159, Mob Spawner
lotr:tile.mobSpawner:160, Mob Spawner
lotr:tile.mobSpawner:161, Mob Spawner
lotr:tile.mobSpawner:162, Mob Spawner
lotr:tile.mobSpawner:163, Mob Spawner
lotr:tile.mobSpawner:164, Mob Spawner
lotr:tile.mobSpawner:165, Mob Spawner
lotr:tile.mobSpawner:166, Mob Spawner
lotr:tile.mobSpawner:167, Mob Spawner
lotr:tile.mobSpawner:168, Mob Spawner
lotr:tile.mobSpawner:169, Mob Spawner
lotr:tile.mobSpawner:170, Mob Spawner
lotr:tile.mobSpawner:171, Mob Spawner
lotr:tile.mobSpawner:172, Mob Spawner
lotr:tile.mobSpawner:173, Mob Spawner
lotr:tile.mobSpawner:174, Mob Spawner
lotr:tile.mobSpawner:175, Mob Spawner
lotr:tile.mobSpawner:177, Mob Spawner
lotr:tile.mobSpawner:178, Mob Spawner
lotr:tile.mobSpawner:179, Mob Spawner
lotr:tile.mobSpawner:180, Mob Spawner
lotr:tile.mobSpawner:181, Mob Spawner
lotr:tile.mobSpawner:182, Mob Spawner
lotr:tile.mobSpawner:183, Mob Spawner
lotr:tile.mobSpawner:184, Mob Spawner
lotr:tile.mobSpawner:185, Mob Spawner
lotr:tile.mobSpawner:186, Mob Spawner
lotr:tile.mobSpawner:187, Mob Spawner
lotr:tile.mobSpawner:188, Mob Spawner
lotr:tile.mobSpawner:189, Mob Spawner
lotr:tile.mobSpawner:190, Mob Spawner
lotr:tile.mobSpawner:191, Mob Spawner
lotr:tile.mobSpawner:192, Mob Spawner
lotr:tile.mobSpawner:193, Mob Spawner
lotr:tile.mobSpawner:194, Mob Spawner
lotr:tile.mobSpawner:195, Mob Spawner
lotr:tile.mobSpawner:196, Mob Spawner
lotr:tile.mobSpawner:197, Mob Spawner
lotr:tile.mobSpawner:198, Mob Spawner
lotr:tile.mobSpawner:199, Mob Spawner
lotr:tile.mobSpawner:200, Mob Spawner
lotr:tile.mobSpawner:201, Mob Spawner
lotr:tile.mobSpawner:202, Mob Spawner
lotr:tile.mobSpawner:203, Mob Spawner
lotr:tile.mobSpawner:204, Mob Spawner
lotr:tile.mobSpawner:205, Mob Spawner
lotr:tile.mobSpawner:206, Mob Spawner
lotr:tile.mobSpawner:207, Mob Spawner
lotr:tile.mobSpawner:208, Mob Spawner
lotr:tile.mobSpawner:209, Mob Spawner
lotr:tile.mobSpawner:210, Mob Spawner
lotr:tile.mobSpawner:211, Mob Spawner
lotr:tile.mobSpawner:212, Mob Spawner
lotr:tile.mobSpawner:213, Mob Spawner
lotr:tile.mobSpawner:214, Mob Spawner
lotr:tile.mobSpawner:215, Mob Spawner
lotr:tile.mobSpawner:216, Mob Spawner
lotr:tile.mobSpawner:217, Mob Spawner
lotr:tile.mobSpawner:218, Mob Spawner
lotr:tile.mobSpawner:219, Mob Spawner
lotr:tile.mobSpawner:220, Mob Spawner
lotr:tile.mobSpawner:221, Mob Spawner
lotr:tile.mobSpawner:222, Mob Spawner
lotr:tile.mobSpawner:223, Mob Spawner
lotr:tile.mobSpawner:224, Mob Spawner
lotr:tile.mobSpawner:225, Mob Spawner
lotr:tile.mobSpawner:226, Mob Spawner
lotr:tile.mobSpawner:227, Mob Spawner
lotr:tile.mobSpawner:228, Mob Spawner
lotr:tile.mobSpawner:229, Mob Spawner
lotr:tile.mobSpawner:230, Mob Spawner
lotr:tile.mobSpawner:231, Mob Spawner
lotr:tile.mobSpawner:232, Mob Spawner
lotr:tile.mobSpawner:233, Mob Spawner
lotr:tile.mobSpawner:234, Mob Spawner
lotr:tile.mobSpawner:235, Mob Spawner
lotr:tile.mobSpawner:236, Mob Spawner
lotr:tile.mobSpawner:237, Mob Spawner
lotr:tile.mobSpawner:238, Mob Spawner
lotr:tile.mobSpawner:239, Mob Spawner
lotr:tile.mobSpawner:240, Mob Spawner
lotr:tile.mobSpawner:241, Mob Spawner
lotr:tile.mobSpawner:242, Mob Spawner
lotr:tile.mobSpawner:243, Mob Spawner
lotr:tile.mobSpawner:244, Mob Spawner
lotr:tile.mobSpawner:245, Mob Spawner
lotr:tile.mobSpawner:246, Mob Spawner
lotr:tile.mobSpawner:247, Mob Spawner
lotr:tile.mobSpawner:248, Mob Spawner
lotr:tile.mobSpawner:249, Mob Spawner
lotr:tile.mobSpawner:250, Mob Spawner
lotr:tile.mobSpawner:251, Mob Spawner
lotr:tile.mobSpawner:252, Mob Spawner
lotr:tile.mobSpawner:253, Mob Spawner
lotr:tile.mobSpawner:254, Mob Spawner
lotr:tile.mobSpawner:255, Mob Spawner
lotr:tile.mobSpawner:256, Mob Spawner
lotr:tile.mobSpawner:257, Mob Spawner
lotr:tile.mobSpawner:258, Mob Spawner
lotr:tile.mobSpawner:259, Mob Spawner
lotr:tile.mobSpawner:260, Mob Spawner
lotr:tile.mobSpawner:261, Mob Spawner
lotr:tile.mobSpawner:262, Mob Spawner
lotr:tile.mobSpawner:263, Mob Spawner
lotr:tile.mobSpawner:264, Mob Spawner
lotr:tile.mobSpawner:265, Mob Spawner
lotr:tile.mobSpawner:266, Mob Spawner
lotr:tile.mobSpawner:267, Mob Spawner
lotr:tile.mobSpawner:268, Mob Spawner
lotr:tile.mobSpawner:269, Mob Spawner
lotr:tile.mobSpawner:270, Mob Spawner
lotr:tile.mobSpawner:271, Mob Spawner
lotr:tile.mobSpawner:272, Mob Spawner
lotr:tile.mobSpawner:273, Mob Spawner
lotr:tile.mobSpawner:274, Mob Spawner
lotr:tile.mobSpawner:275, Mob Spawner
lotr:tile.mobSpawner:276, Mob Spawner
lotr:tile.mobSpawner:277, Mob Spawner
lotr:tile.mobSpawner:278, Mob Spawner
lotr:tile.mobSpawner:279, Mob Spawner
lotr:tile.mobSpawner:280, Mob Spawner
lotr:tile.mobSpawner:281, Mob Spawner
lotr:tile.mobSpawner:282, Mob Spawner
lotr:tile.mobSpawner:283, Mob Spawner
lotr:tile.mobSpawner:284, Mob Spawner
lotr:tile.mobSpawner:285, Mob Spawner
lotr:tile.mobSpawner:286, Mob Spawner
lotr:tile.mobSpawner:287, Mob Spawner
lotr:tile.mobSpawner:288, Mob Spawner
lotr:tile.mobSpawner:289, Mob Spawner
lotr:tile.mobSpawner:290, Mob Spawner
lotr:tile.mobSpawner:291, Mob Spawner
lotr:tile.mobSpawner:292, Mob Spawner
lotr:tile.mobSpawner:293, Mob Spawner
lotr:tile.mobSpawner:294, Mob Spawner
lotr:tile.mobSpawner:295, Mob Spawner
lotr:tile.mobSpawner:296, Mob Spawner
lotr:tile.mobSpawner:297, Mob Spawner
lotr:tile.mobSpawner:298, Mob Spawner
lotr:tile.mobSpawner:299, Mob Spawner
lotr:tile.mobSpawner:300, Mob Spawner
lotr:tile.mobSpawner:301, Mob Spawner
lotr:tile.mobSpawner:302, Mob Spawner
lotr:tile.mobSpawner:303, Mob Spawner
lotr:tile.mobSpawner:304, Mob Spawner
lotr:tile.mobSpawner:305, Mob Spawner
lotr:tile.mobSpawner:306, Mob Spawner
lotr:tile.mobSpawner:307, Mob Spawner
lotr:tile.mobSpawner:308, Mob Spawner
lotr:tile.mobSpawner:309, Mob Spawner
lotr:tile.mobSpawner:310, Mob Spawner
lotr:tile.mobSpawner:311, Mob Spawner
lotr:tile.mobSpawner:312, Mob Spawner
lotr:tile.mobSpawner:313, Mob Spawner
lotr:tile.mobSpawner:314, Mob Spawner
lotr:tile.mobSpawner:315, Mob Spawner
lotr:tile.mobSpawner:316, Mob Spawner
lotr:tile.mobSpawner:317, Mob Spawner
lotr:tile.mobSpawner:318, Mob Spawner
lotr:tile.mobSpawner:319, Mob Spawner
lotr:tile.mobSpawner:320, Mob Spawner
lotr:tile.mobSpawner:321, Mob Spawner
lotr:tile.mobSpawner:322, Mob Spawner
lotr:tile.mobSpawner:323, Mob Spawner
lotr:tile.mobSpawner:324, Mob Spawner
lotr:tile.mobSpawner:325, Mob Spawner
lotr:tile.mobSpawner:326, Mob Spawner
lotr:tile.mobSpawner:327, Mob Spawner
lotr:tile.mobSpawner:328, Mob Spawner
lotr:tile.mobSpawner:329, Mob Spawner
lotr:tile.mobSpawner:330, Mob Spawner
lotr:tile.mobSpawner:331, Mob Spawner
lotr:tile.mobSpawner:332, Mob Spawner
lotr:tile.mobSpawner:333, Mob Spawner
lotr:tile.mobSpawner:334, Mob Spawner
lotr:tile.mobSpawner:335, Mob Spawner
lotr:tile.mobSpawner:336, Mob Spawner
lotr:tile.mobSpawner:337, Mob Spawner
lotr:tile.mobSpawner:338, Mob Spawner
lotr:tile.mobSpawner:339, Mob Spawner
lotr:tile.mobSpawner:340, Mob Spawner
lotr:tile.mobSpawner:341, Mob Spawner
lotr:tile.mobSpawner:342, Mob Spawner
lotr:tile.mobSpawner:343, Mob Spawner
lotr:tile.mobSpawner:344, Mob Spawner
lotr:tile.mobSpawner:345, Mob Spawner
lotr:tile.mobSpawner:346, Mob Spawner
lotr:tile.mobSpawner:347, Mob Spawner
lotr:tile.mobSpawner:348, Mob Spawner
lotr:tile.mobSpawner:349, Mob Spawner
lotr:tile.mobSpawner:350, Mob Spawner
lotr:tile.mobSpawner:351, Mob Spawner
lotr:tile.mobSpawner:352, Mob Spawner
lotr:tile.mobSpawner:353, Mob Spawner
lotr:tile.mobSpawner:354, Mob Spawner
lotr:tile.mobSpawner:355, Mob Spawner
lotr:tile.mobSpawner:356, Mob Spawner
lotr:tile.mobSpawner:357, Mob Spawner
lotr:tile.mobSpawner:358, Mob Spawner
lotr:tile.mobSpawner:359, Mob Spawner
lotr:tile.mobSpawner:360, Mob Spawner
lotr:tile.mobSpawner:361, Mob Spawner
lotr:tile.mobSpawner:362, Mob Spawner
lotr:tile.mobSpawner:363, Mob Spawner
lotr:tile.mobSpawner:364, Mob Spawner
lotr:tile.mobSpawner:365, Mob Spawner
lotr:tile.mobSpawner:366, Mob Spawner
lotr:tile.mobSpawner:367, Mob Spawner
lotr:tile.mobSpawner:368, Mob Spawner
lotr:tile.mobSpawner:369, Mob Spawner
lotr:tile.mobSpawner:370, Mob Spawner
lotr:tile.mobSpawner:371, Mob Spawner
lotr:tile.mobSpawner:372, Mob Spawner
lotr:tile.mobSpawner:373, Mob Spawner
lotr:tile.mobSpawner:374, Mob Spawner
lotr:tile.mobSpawner:375, Mob Spawner
lotr:tile.mobSpawner:376, Mob Spawner
lotr:tile.mobSpawner:377, Mob Spawner
lotr:tile.mobSpawner:378, Mob Spawner
lotr:tile.mobSpawner:379, Mob Spawner
lotr:tile.mobSpawner:380, Mob Spawner
lotr:tile.mobSpawner:381, Mob Spawner
lotr:tile.mobSpawner:382, Mob Spawner
lotr:tile.mobSpawner:383, Mob Spawner
lotr:tile.mobSpawner:384, Mob Spawner
lotr:tile.mobSpawner:385, Mob Spawner
lotr:tile.mobSpawner:386, Mob Spawner
lotr:tile.mobSpawner:387, Mob Spawner
lotr:tile.mobSpawner:388, Mob Spawner
lotr:tile.mobSpawner:389, Mob Spawner
lotr:tile.mobSpawner:390, Mob Spawner
lotr:tile.mobSpawner:391, Mob Spawner
lotr:tile.mobSpawner:392, Mob Spawner
lotr:tile.mobSpawner:393, Mob Spawner
lotr:tile.mobSpawner:394, Mob Spawner
lotr:tile.mobSpawner:395, Mob Spawner
lotr:tile.mobSpawner:396, Mob Spawner
lotr:tile.mobSpawner:397, Mob Spawner
lotr:tile.mobSpawner:398, Mob Spawner
lotr:tile.mobSpawner:399, Mob Spawner
lotr:tile.mobSpawner:400, Mob Spawner
lotr:tile.mobSpawner:401, Mob Spawner
lotr:tile.mobSpawner:402, Mob Spawner
lotr:tile.mobSpawner:403, Mob Spawner
lotr:tile.mobSpawner:404, Mob Spawner
lotr:tile.mobSpawner:405, Mob Spawner
lotr:tile.mobSpawner:406, Mob Spawner
lotr:tile.mobSpawner:800, Mob Spawner
lotr:tile.mobSpawner:801, Mob Spawner
lotr:tile.mobSpawner:802, Mob Spawner
lotr:tile.mobSpawner:803, Mob Spawner
lotr:tile.mobSpawner:804, Mob Spawner
lotr:tile.mobSpawner:805, Mob Spawner
lotr:tile.mobSpawner:806, Mob Spawner
lotr:tile.mobSpawner:807, Mob Spawner
lotr:tile.mobSpawner:808, Mob Spawner
lotr:tile.mobSpawner:809, Mob Spawner
lotr:tile.mobSpawner:810, Mob Spawner
lotr:tile.mobSpawner:1001, Mob Spawner
lotr:tile.mobSpawner:1002, Mob Spawner
lotr:tile.mobSpawner:1003, Mob Spawner
lotr:tile.mallornLadder, Mallorn Ladder
lotr:tile.plate, tile.lotr:plate.name
lotr:tile.orcSteelBars, Orc Steel Bars
lotr:tile.stairsGondorBrickMossy, Mossy Gondor Brick Stairs
lotr:tile.stairsGondorBrickCracked, Cracked Gondor Brick Stairs
lotr:tile.athelas, Athelas
lotr:tile.stalactite:0, Stalactite
lotr:tile.stalactite:1, Stalagmite
lotr:tile.stairsRohanBrick, Rohan Brick Stairs
lotr:tile.oreQuendite, Edhelvir Ore
lotr:tile.mallornTorch, Silver Mallorn Torch
lotr:tile.spawnerChest, tile.lotr:spawnerChest.name
lotr:tile.quenditeGrass, Elvengrass
lotr:tile.pressurePlateMordorRock, Pressure Plate
lotr:tile.pressurePlateGondorRock, Pressure Plate
lotr:tile.buttonMordorRock, Button
lotr:tile.buttonGondorRock, Button
lotr:tile.elvenPortal, tile.lotr:elvenPortal.name
lotr:tile.flowerPot, tile.lotr:flowerPot.name
lotr:tile.stairsDwarvenBrick, Dwarven Brick Stairs
lotr:tile.elvenBed, tile.lotr:elvenBed.name
lotr:tile.pillar:0, Dwarven Pillar
lotr:tile.pillar:1, Galadhrim Pillar
lotr:tile.pillar:2, Cracked Galadhrim Pillar
lotr:tile.pillar:3, Luigon Pillar
lotr:tile.pillar:4, Cargon Pillar
lotr:tile.pillar:5, Haradric Pillar
lotr:tile.pillar:6, Gondor Pillar
lotr:tile.pillar:7, Mordor Pillar
lotr:tile.pillar:8, Rohan Pillar
lotr:tile.pillar:9, Númenórean Pillar
lotr:tile.pillar:10, High Elven Pillar
lotr:tile.pillar:11, Cracked High Elven Pillar
lotr:tile.pillar:12, Wood-elven Pillar
lotr:tile.pillar:13, Cracked Wood-elven Pillar
lotr:tile.pillar:14, Taurethrim Pillar
lotr:tile.pillar:15, Red Haradric Pillar
lotr:tile.oreGlowstone, Glowstone Ore
lotr:tile.fruitWood:0, Apple Wood
lotr:tile.fruitWood:1, Pear Wood
lotr:tile.fruitWood:2, Cherry Wood
lotr:tile.fruitWood:3, Mango Wood
lotr:tile.fruitLeaves:0, Apple Leaves
lotr:tile.fruitLeaves:1, Pear Leaves
lotr:tile.fruitLeaves:2, Cherry Leaves
lotr:tile.fruitLeaves:3, Mango Leaves
lotr:tile.fruitSapling:0, Apple Sapling
lotr:tile.fruitSapling:1, Pear Sapling
lotr:tile.fruitSapling:2, Cherry Sapling
lotr:tile.fruitSapling:3, Mango Sapling
lotr:tile.stairsApple, Apple Wood Stairs
lotr:tile.stairsPear, Pear Wood Stairs
lotr:tile.stairsCherry, Cherry Wood Stairs
lotr:tile.dwarvenCraftingTable, Dwarven Crafting Table
lotr:tile.bluebell, Bluebell
lotr:tile.dwarvenForge, Dwarven Forge
lotr:tile.hearth, Hearth Block
lotr:tile.morgulShroom, Morgul-shroom
lotr:tile.urukCraftingTable, Uruk Crafting Table
lotr:tile.cherryPie, tile.lotr:cherryPie.name
lotr:tile.clover:0, Clover
lotr:tile.clover:1, Four-leaf Clover
lotr:tile.slabSingle2:0, Dwarven Pillar Slab
lotr:tile.slabSingle2:1, Smooth Rohan Rock Slab
lotr:tile.slabSingle2:2, Cracked Mordor Brick Slab
lotr:tile.slabSingle2:3, Galadhrim Brick Slab
lotr:tile.slabSingle2:4, Mossy Galadhrim Brick Slab
lotr:tile.slabSingle2:5, Cracked Galadhrim Brick Slab
lotr:tile.slabSingle2:6, Galadhrim Pillar Slab
lotr:tile.slabSingle2:7, Cracked Galadhrim Pillar Slab
lotr:tile.stairsMirkOak, Mirk-oak Wood Stairs
lotr:tile.webUngoliant, Web of Ungoliant
lotr:tile.woodElvenCraftingTable, Wood-elven Crafting Table
lotr:tile.woodElvenBed, tile.lotr:woodElvenBed.name
lotr:tile.gondorianCraftingTable, Gondorian Crafting Table
lotr:tile.woodElvenTorch, Wood-elven Torch
lotr:tile.marshLights, tile.lotr:marshLights.name
lotr:tile.rohirricCraftingTable, Rohirric Crafting Table
lotr:tile.pressurePlateRohanRock, Pressure Plate
lotr:tile.remains, Remains
lotr:tile.deadMarshPlant, Dead Marsh Plant
lotr:tile.oreGulduril:0, Gulduril Ore
lotr:tile.oreGulduril:1, Gulduril Ore
lotr:tile.guldurilBrick:0, Gulduril Mordor Brick
lotr:tile.guldurilBrick:1, Gulduril Cracked Mordor Brick
lotr:tile.guldurilBrick:2, Gulduril Angmar Brick
lotr:tile.guldurilBrick:3, Gulduril Cracked Angmar Brick
lotr:tile.guldurilBrick:4, Gulduril Dol Guldur Brick
lotr:tile.guldurilBrick:5, Gulduril Cracked Dol Guldur Brick
lotr:tile.guldurilBrick:6, Gulduril Gondor Brick
lotr:tile.guldurilBrick:7, Gulduril Mossy Gondor Brick
lotr:tile.guldurilBrick:8, Gulduril Cracked Gondor Brick
lotr:tile.guldurilBrick:9, Gulduril Númenórean Brick
lotr:tile.dwarvenDoor, Dwarven Door
lotr:tile.stairsCharred, Charred Wood Stairs
lotr:tile.dwarvenBed, tile.lotr:dwarvenBed.name
lotr:tile.morgulPortal, tile.lotr:morgulPortal.name
lotr:tile.armorStand, tile.lotr:armorStand.name
lotr:tile.buttonRohanRock, Button
lotr:tile.asphodel, Asphodel
lotr:tile.wood2:0, Lebethron Wood
lotr:tile.wood2:1, Beech Wood
lotr:tile.wood2:2, Holly Wood
lotr:tile.wood2:3, Banana Wood
lotr:tile.leaves2:0, Lebethron Leaves
lotr:tile.leaves2:1, Beech Leaves
lotr:tile.leaves2:2, Holly Leaves
lotr:tile.leaves2:3, Banana Leaves
lotr:tile.sapling2:0, Lebethron Sapling
lotr:tile.sapling2:1, Beech Sapling
lotr:tile.sapling2:2, Holly Sapling
lotr:tile.sapling2:3, Banana Sapling
lotr:tile.stairsLebethron, Lebethron Wood Stairs
lotr:tile.woodSlabSingle2:0, Lebethron Wood Slab
lotr:tile.woodSlabSingle2:1, Beech Wood Slab
lotr:tile.woodSlabSingle2:2, Holly Wood Slab
lotr:tile.woodSlabSingle2:3, Banana Wood Slab
lotr:tile.woodSlabSingle2:4, Maple Wood Slab
lotr:tile.woodSlabSingle2:5, Larch Wood Slab
lotr:tile.woodSlabSingle2:6, Date Palm Wood Slab
lotr:tile.woodSlabSingle2:7, Mangrove Wood Slab
lotr:tile.dwarfHerb, Dwarfwort
lotr:tile.mug, tile.lotr:mug.name
lotr:tile.dunlendingCraftingTable, Dunlending Crafting Table
lotr:tile.stairsBeech, Beech Wood Stairs
lotr:tile.entJar, Ent Jar
lotr:tile.mordorThorn, Stabbing Thorn
lotr:tile.mordorMoss, Withered Moss
lotr:tile.stairsMordorBrickCracked, Cracked Mordor Brick Stairs
lotr:tile.orcForge, Orc Forge
lotr:tile.trollTotem:0, Troll Totem Head
lotr:tile.trollTotem:1, Troll Totem Body
lotr:tile.trollTotem:2, Troll Totem Base
lotr:tile.orcBed, tile.lotr:orcBed.name
lotr:tile.stairsElvenBrick, Galadhrim Brick Stairs
lotr:tile.stairsElvenBrickMossy, Mossy Galadhrim Brick Stairs
lotr:tile.stairsElvenBrickCracked, Cracked Galadhrim Brick Stairs
lotr:tile.stairsHolly, Holly Wood Stairs
lotr:tile.pressurePlateBlueRock, Pressure Plate
lotr:tile.buttonBlueRock, Button
lotr:tile.slabSingle3:0, Smooth Luigon Slab
lotr:tile.slabSingle3:1, Luigon Brick Slab
lotr:tile.slabSingle3:2, Luigon Pillar Slab
lotr:tile.slabSingle3:3, Angmar Brick Slab
lotr:tile.slabSingle3:4, Cracked Angmar Brick Slab
lotr:tile.slabSingle3:5, Smooth Cargon Slab
lotr:tile.slabSingle3:6, Cargon Brick Slab
lotr:tile.slabSingle3:7, Cargon Pillar Slab
lotr:tile.stairsBlueRockBrick, Luigon Brick Stairs
lotr:tile.fence:0, Shire Pine Fence
lotr:tile.fence:1, Mallorn Fence
lotr:tile.fence:2, Mirk-oak Fence
lotr:tile.fence:3, Charred Fence
lotr:tile.fence:4, Apple Fence
lotr:tile.fence:5, Pear Fence
lotr:tile.fence:6, Cherry Fence
lotr:tile.fence:7, Mango Fence
lotr:tile.fence:8, Lebethron Fence
lotr:tile.fence:9, Beech Fence
lotr:tile.fence:10, Holly Fence
lotr:tile.fence:11, Banana Fence
lotr:tile.fence:12, Maple Fence
lotr:tile.fence:13, Larch Fence
lotr:tile.fence:14, Date Palm Fence
lotr:tile.fence:15, Mangrove Fence
lotr:tile.doubleFlower:0, Black Iris
lotr:tile.doubleFlower:1, Yellow Iris
lotr:tile.doubleFlower:2, Hibiscus
lotr:tile.doubleFlower:3, Flame of Harad
lotr:tile.oreSulfur, Sulfur Ore
lotr:tile.oreSaltpeter, Niter Ore
lotr:tile.quagmire, Quagmire
lotr:tile.angmarCraftingTable, Angmar Crafting Table
lotr:tile.brick2:0, Angmar Brick
lotr:tile.brick2:1, Cracked Angmar Brick
lotr:tile.brick2:2, Cargon Brick
lotr:tile.brick2:3, Arnor Brick
lotr:tile.brick2:4, Mossy Arnor Brick
lotr:tile.brick2:5, Cracked Arnor Brick
lotr:tile.brick2:6, Carved Arnor Brick
lotr:tile.brick2:7, Uruk Brick
lotr:tile.brick2:8, Dol Guldur Brick
lotr:tile.brick2:9, Cracked Dol Guldur Brick
lotr:tile.brick2:10, Carved Mordor Brick
lotr:tile.brick2:11, Númenórean Brick
lotr:tile.brick2:12, Carved Dwarven Brick
lotr:tile.brick2:13, Carved High Elven Brick
lotr:tile.brick2:14, Carved Wood-elven Brick
lotr:tile.brick2:15, Carved Galadhrim Brick
lotr:tile.wallStone2:0, Angmar Brick Wall
lotr:tile.wallStone2:1, Cracked Angmar Brick Wall
lotr:tile.wallStone2:2, Cargon Wall
lotr:tile.wallStone2:3, Cargon Brick Wall
lotr:tile.wallStone2:4, Arnor Brick Wall
lotr:tile.wallStone2:5, Mossy Arnor Brick Wall
lotr:tile.wallStone2:6, Cracked Arnor Brick Wall
lotr:tile.wallStone2:7, Uruk Brick Wall
lotr:tile.wallStone2:8, Dol Guldur Brick Wall
lotr:tile.wallStone2:9, Cracked Dol Guldur Brick Wall
lotr:tile.wallStone2:10, Númenórean Brick Wall
lotr:tile.wallStone2:11, High Elven Brick Wall
lotr:tile.wallStone2:12, Mossy High Elven Brick Wall
lotr:tile.wallStone2:13, Cracked High Elven Brick Wall
lotr:tile.wallStone2:14, Dol Amroth Brick Wall
lotr:tile.wallStone2:15, Morwaith Brick Wall
lotr:tile.stairsAngmarBrick, Angmar Brick Stairs
lotr:tile.stairsAngmarBrickCracked, Cracked Angmar Brick Stairs
lotr:tile.stairsMango, Mango Wood Stairs
lotr:tile.stairsBanana, Banana Wood Stairs
lotr:tile.banana, tile.lotr:banana.name
